title,genres,synopsis,rating,actors,directors
Greenland 2: Migration,"Adventure,Thriller,Science Fiction","Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",6.4,"Gerard Butler,Morena Baccarin,Roman Griffin Davis",Ric Roman Waugh
GOAT,"Animation,Comedy,Family","A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.",7.686,"Caleb McLaughlin,Gabrielle Union,Stephen Curry",Tyree Dillihay
Zootopia 2,"Animation,Comedy,Adventure,Family,Mystery","After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",7.608,"Ginnifer Goodwin,Jason Bateman,Ke Huy Quan","Jared Bush,Byron Howard"
Lake Jesup: Bonecrusher's Revenge,"Horror,Comedy,Adventure","In 2003, Lake Jesup became the stage for a real-life horror story, as a monstrous alligator escaped from captivity and began a reign of terror. As the body count rose, a desperate hunt ensued to stop the creature.",6.25,"Derek Russo,Jeff Benninghofen,Michael Houston King",Michael Houston King
Whistle,"Horror,Mystery","A misfit group of unwitting high school students stumble upon a cursed object, an ancient Aztec Death Whistle. They discover that blowing the whistle and the terrifying sound it emits will summon their future deaths to hunt them down.",6.034,"Dafne Keen,Sophie Nélisse,Sky Yang",Corin Hardy
Dhurandhar: The Revenge,"Action,Crime,Thriller","As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the streets of Lyari.",7.9,"Ranveer Singh,Arjun Rampal,R. Madhavan",Aditya Dhar
"""Wuthering Heights""","Romance,Drama","Tragedy strikes when Heathcliff falls in love with Catherine Earnshaw, a woman from a wealthy family in 18th-century England.",6.384,"Margot Robbie,Jacob Elordi,Hong Chau",Emerald Fennell
Hoppers,"Animation,Family,Science Fiction,Comedy,Adventure","Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",7.623,"Piper Curda,Bobby Moynihan,Jon Hamm",Daniel Chong
Mercy,"Science Fiction,Action,Thriller","In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes to prove his innocence to the advanced AI Judge he once championed, before it determines his fate.",7.047,"Chris Pratt,Rebecca Ferguson,Kali Reis",Timur Bekmambetov
Return to Silent Hill,"Mystery,Drama,Horror","When James receives a mysterious letter from his lost love Mary, he is drawn to Silent Hill—a once-familiar town now consumed by darkness. As he searches for her, James faces monstrous creatures and unravels a terrifying truth that will push him to the edge of his sanity.",5.0,"Jeremy Irvine,Hannah Emily Anderson,Evie Templeton",Christophe Gans
